distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-5962	ensorlt00000040484	sorlg00000023131		16	29564348	29565052	+	mRNA	protein_coding
8045	ensorlt00000020473	sorlg00000016352	si:dkey-256h2.1-202	16	29567974	29579037	-	mRNA	protein_coding
8045	ensorlt00000043938	sorlg00000016352	si:dkey-256h2.1-201	16	29565737	29579037	-	mRNA	protein_coding
-17215	ensorlt00000020468	sorlg00000016348		16	29550746	29553095	-	mRNA	protein_coding
-17215	ensorlt00000047085	sorlg00000016348		16	29550746	29553095	-	mRNA	protein_coding
30143	ensorlt00000035306	sorlg00000016371	sept7b-201	16	29577402	29601135	-	mRNA	protein_coding
30143	ensorlt00000020500	sorlg00000016371	sept7b-202	16	29578156	29601135	-	mRNA	protein_coding
30966	ensorlt00000020497	sorlg00000016371	sept7b-203	16	29579058	29601958	-	mRNA	protein_coding
30987	ensorlt00000020509	sorlg00000016378	nek10-201	16	29601979	29619845	+	mRNA	protein_coding
-33977	ensorlt00000020454	sorlg00000016336		16	29536333	29538277	+	mRNA	protein_coding
-37043	ensorlt00000020455	sorlg00000016336		16	29533267	29538179	+	mRNA	protein_coding
-57144	ensorlt00000020449	sorlg00000016333	rpz4-201	16	29513166	29520432	+	mRNA	protein_coding
-60951	ensorlt00000020448	sorlg00000016332	rpz5-201	16	29509359	29510540	+	mRNA	protein_coding
70031	ensorlt00000020527	sorlg00000016394	rarb-201	16	29619998	29641023	-	mRNA	protein_coding
-70372	ensorlt00000020444	sorlg00000016330	ensorle00000183453	16	29498721	29499938	-	mRNA	protein_coding
71996	ensorlt00000045878	sorlg00000016394	rarb-202	16	29620370	29642988	-	mRNA	protein_coding
-78198	ensorlt00000030945	sorlg00000023075	ensorle00000299880	16	29492112	29492774	+	mRNA	protein_coding
86230	ensorlt00000033306	sorlg00000024635		16	29657222	29660471	+	mRNA	protein_coding
-91209	ensorlt00000027908	sorlg00000024164	ensorle00000254749	16	29474487	29479101	-	mRNA	protein_coding
94444	ensorlt00000020560	sorlg00000027579		16	29661213	29665436	-	mRNA	protein_coding
