distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
1314	ensorlt00000017275	sorlg00000013773	nt5c3b-202	19	4899358	4904339	+	mRNA	protein_coding
1314	ensorlt00000017282	sorlg00000013773	nt5c3b-201	19	4899358	4904339	+	mRNA	protein_coding
-1717	ensorlt00000017292	sorlg00000013787	klhl11-201	19	4894644	4898959	+	mRNA	protein_coding
13654	ensorlt00000017225	sorlg00000013733	fkbp10b-201	19	4903635	4911698	-	mRNA	protein_coding
15084	ensorlt00000017174	sorlg00000013692	p3h4-201	19	4913128	4917938	+	mRNA	protein_coding
-22388	ensorlt00000029877	sorlg00000013878	aclyb-205	19	4873973	4888664	+	mRNA	protein_coding
-25031	ensorlt00000039230	sorlg00000013878	aclyb-202	19	4871330	4888664	+	mRNA	protein_coding
-25031	ensorlt00000033042	sorlg00000013878	aclyb-201	19	4871330	4890705	+	mRNA	protein_coding
-25031	ensorlt00000017407	sorlg00000013878	aclyb-204	19	4871330	4888664	+	mRNA	protein_coding
-25031	ensorlt00000029154	sorlg00000013878	aclyb-203	19	4871330	4888664	+	mRNA	protein_coding
-35182	ensorlt00000017459	sorlg00000013921	dnajc7-201	19	4861179	4870657	+	mRNA	protein_coding
54289	ensorlt00000005627	sorlg00000004481		19	4920038	4952333	-	mRNA	protein_coding
54289	ensorlt00000046873	sorlg00000004481		19	4920888	4952333	-	mRNA	protein_coding
63204	ensorlt00000032815	sorlg00000023574		19	4953841	4961248	-	mRNA	protein_coding
63204	ensorlt00000046604	sorlg00000023574		19	4953841	4961248	-	mRNA	protein_coding
-66336	ensorlt00000037355	sorlg00000029969		19	4830025	4860281	+	mRNA	protein_coding
80698	ensorlt00000043006	sorlg00000004509		19	4971854	4978742	-	mRNA	protein_coding
88567	ensorlt00000006984	sorlg00000004509		19	4974111	4986611	-	mRNA	protein_coding
-89374	ensorlt00000032291	sorlg00000029969		19	4806987	4860281	+	mRNA	protein_coding
-89374	ensorlt00000046361	sorlg00000029969		19	4806987	4860281	+	mRNA	protein_coding
90820	ensorlt00000005669	sorlg00000004509		19	4976135	4988864	-	mRNA	protein_coding
