distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-5244	ensorlt00000036581	sorlg00000025615	ensorle00000229609	23	11351475	11352434	-	mRNA	protein_coding
18682	ensorlt00000015938	sorlg00000012721	dera-201	23	11377064	11393077	+	mRNA	protein_coding
20891	ensorlt00000041098	sorlg00000012721	dera-202	23	11379273	11395717	+	mRNA	protein_coding
-31186	ensorlt00000015905	sorlg00000012693	msrb3-201	23	11326492	11331216	+	mRNA	protein_coding
-50617	ensorlt00000015888	sorlg00000012681	lemd3-201	23	11307061	11319427	+	mRNA	protein_coding
-68255	ensorlt00000015851	sorlg00000012650	rint1-201	23	11289423	11307030	+	mRNA	protein_coding
-70500	ensorlt00000027873	sorlg00000023202		23	11281840	11287178	-	mRNA	protein_coding
-70500	ensorlt00000031528	sorlg00000023202		23	11281840	11287178	-	mRNA	protein_coding
-77618	ensorlt00000038617	sorlg00000030625		23	11273276	11280060	-	mRNA	protein_coding
-90891	ensorlt00000015802	sorlg00000012617	prl-201	23	11261280	11266787	-	mRNA	protein_coding
