distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-9138	ensorlt00000020436	sorlg00000016323		16	29370634	29385759	+	mRNA	protein_coding
-9138	ensorlt00000029431	sorlg00000016323		16	29370634	29385759	+	mRNA	protein_coding
33674	ensorlt00000030327	sorlg00000028778		16	29414264	29418433	+	mRNA	protein_coding
51517	ensorlt00000044057	sorlg00000029395	ensorle00000292607	16	29432107	29432778	+	mRNA	protein_coding
56893	ensorlt00000044257	sorlg00000026123	ensorle00000284834	16	29434493	29437483	-	mRNA	protein_coding
65199	ensorlt00000030805	sorlg00000025794	rpz6-201	16	29445789	29452051	+	mRNA	protein_coding
80899	ensorlt00000044561	sorlg00000026172	ensorle00000269470	16	29461489	29462178	+	mRNA	protein_coding
-85425	ensorlt00000032677	sorlg00000024314	nr2f5-201	16	29294347	29316604	+	mRNA	protein_coding
86550	ensorlt00000027173	sorlg00000026443	ensorle00000236672	16	29465989	29467140	-	mRNA	protein_coding
98511	ensorlt00000027908	sorlg00000024164	ensorle00000254749	16	29474487	29479101	-	mRNA	protein_coding
