distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
0	ensorlt00000013381	sorlg00000010676		1	24677579	24682573	+	mRNA	protein_coding
-2853	ensorlt00000043670	sorlg00000022355	rps19bp1-201	1	24666659	24674649	-	mRNA	protein_coding
4952	ensorlt00000029524	sorlg00000026134		1	24683290	24706488	+	mRNA	protein_coding
7223	ensorlt00000030453	sorlg00000026134		1	24685561	24706488	+	mRNA	protein_coding
12048	ensorlt00000034389	sorlg00000026134		1	24690386	24706488	+	mRNA	protein_coding
12858	ensorlt00000041842	sorlg00000026134		1	24691196	24706488	+	mRNA	protein_coding
18137	ensorlt00000032351	sorlg00000026134		1	24696475	24706488	+	mRNA	protein_coding
27498	ensorlt00000013413	sorlg00000010701	tmprss6-201	1	24705836	24734207	+	mRNA	protein_coding
27498	ensorlt00000029609	sorlg00000010701	tmprss6-202	1	24705836	24734207	+	mRNA	protein_coding
-31528	ensorlt00000045518	sorlg00000023617		1	24642795	24645974	-	mRNA	protein_coding
-38507	ensorlt00000026923	sorlg00000024192	atf4-201	1	24632768	24638995	-	mRNA	protein_coding
-38507	ensorlt00000036844	sorlg00000024192	atf4-202	1	24632768	24638995	-	mRNA	protein_coding
76887	ensorlt00000039920	sorlg00000021948	c1qtnf6b-201	1	24755225	24767017	+	mRNA	protein_coding
-78386	ensorlt00000034186	sorlg00000026252		1	24599116	24615671	+	mRNA	protein_coding
