distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
25185	ensorlt00000012890	sorlg00000010284		13	20525677	20578299	-	mRNA	protein_coding
29870	ensorlt00000042060	sorlg00000010284		13	20518917	20582984	-	mRNA	protein_coding
29870	ensorlt00000044556	sorlg00000010284		13	20522775	20582984	-	mRNA	protein_coding
-32384	ensorlt00000012836	sorlg00000010236		13	20511022	20520000	-	mRNA	protein_coding
-32940	ensorlt00000035815	sorlg00000010236		13	20511022	20519444	-	mRNA	protein_coding
38825	ensorlt00000012908	sorlg00000010300	p2ry2.1-201	13	20591939	20593926	+	mRNA	protein_coding
54966	ensorlt00000033655	sorlg00000023849	relt-202	13	20591590	20608080	-	mRNA	protein_coding
66984	ensorlt00000035555	sorlg00000023849	relt-201	13	20591590	20620098	-	mRNA	protein_coding
-67002	ensorlt00000012827	sorlg00000010229	kcnj13-201	13	20485382	20507476	+	mRNA	protein_coding
74929	ensorlt00000012935	sorlg00000010324	arhgef17-203	13	20624462	20628043	-	mRNA	protein_coding
-95892	ensorlt00000029647	sorlg00000010217	fat3a-203	13	20398374	20456492	-	mRNA	protein_coding
-95892	ensorlt00000030271	sorlg00000010217	fat3a-201	13	20398374	20456492	-	mRNA	protein_coding
-95892	ensorlt00000030669	sorlg00000010217	fat3a-202	13	20398374	20456492	-	mRNA	protein_coding
-95921	ensorlt00000012818	sorlg00000010217	fat3a-204	13	20401582	20456463	-	mRNA	protein_coding
