distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
0	ensorlt00000032401	sorlg00000029356	ensorle00000287128	12	16361143	16364073	-	mRNA	protein_coding
18041	ensorlt00000013598	sorlg00000010843		12	16382117	16425009	+	mRNA	protein_coding
20013	ensorlt00000039977	sorlg00000010843		12	16384089	16424264	+	mRNA	protein_coding
-33696	ensorlt00000013573	sorlg00000010821	si:ch73-287m6.1-204	12	16329415	16374434	+	mRNA	protein_coding
-60188	ensorlt00000038821	sorlg00000026628		12	16299020	16302923	-	mRNA	protein_coding
-62086	ensorlt00000043865	sorlg00000028877		12	16299829	16301025	-	mRNA	protein_coding
-76229	ensorlt00000027732	sorlg00000010821	si:ch73-287m6.1-202	12	16286882	16374434	+	mRNA	protein_coding
-76229	ensorlt00000041699	sorlg00000010821	si:ch73-287m6.1-201	12	16286882	16374434	+	mRNA	protein_coding
-76229	ensorlt00000041716	sorlg00000010821	si:ch73-287m6.1-203	12	16286882	16374434	+	mRNA	protein_coding
78676	ensorlt00000041885	sorlg00000024273		12	16442307	16442752	-	mRNA	protein_coding
-88274	ensorlt00000013550	sorlg00000010804	noc4l-201	12	16274837	16282725	+	mRNA	protein_coding
-90590	ensorlt00000013532	sorlg00000010787	pus1-201	12	16272521	16274574	+	mRNA	protein_coding
