distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
589	ensorlt00000011491	sorlg00000009158	cdkn3-201	22	1398854	1402646	+	mRNA	protein_coding
9002	ensorlt00000011507	sorlg00000009172	cnih1-201	22	1403772	1407267	-	mRNA	protein_coding
13636	ensorlt00000040183	sorlg00000029174	gmfb-202	22	1409209	1411901	-	mRNA	protein_coding
14970	ensorlt00000011529	sorlg00000009189	lgals3a-201	22	1413235	1416426	+	mRNA	protein_coding
15018	ensorlt00000043410	sorlg00000029174	gmfb-201	22	1409209	1413283	-	mRNA	protein_coding
15584	ensorlt00000040765	sorlg00000009189	lgals3a-202	22	1413849	1416426	+	mRNA	protein_coding
21447	ensorlt00000026921	sorlg00000029340		22	1419712	1437507	+	mRNA	protein_coding
21447	ensorlt00000035541	sorlg00000029340		22	1419712	1432870	+	mRNA	protein_coding
-35238	ensorlt00000011460	sorlg00000009137	sos2-201	22	1362069	1389954	+	mRNA	protein_coding
-41176	ensorlt00000011435	sorlg00000009117	l2hgdh-201	22	1356131	1362063	+	mRNA	protein_coding
-42629	ensorlt00000011420	sorlg00000009104	dmac2l-201	22	1351238	1354678	-	mRNA	protein_coding
43054	ensorlt00000011627	sorlg00000009268	srsf5a-203	22	1441319	1445415	+	mRNA	protein_coding
43054	ensorlt00000011628	sorlg00000009268	srsf5a-202	22	1441319	1447094	+	mRNA	protein_coding
43054	ensorlt00000011624	sorlg00000009268	srsf5a-201	22	1441319	1447094	+	mRNA	protein_coding
49046	ensorlt00000027041	sorlg00000009340	pacs2-202	22	1447311	1495501	+	mRNA	protein_coding
49046	ensorlt00000030542	sorlg00000009340	pacs2-203	22	1447311	1495501	+	mRNA	protein_coding
49046	ensorlt00000035689	sorlg00000009340	pacs2-201	22	1447311	1495501	+	mRNA	protein_coding
49557	ensorlt00000011717	sorlg00000009340	pacs2-204	22	1447822	1491784	+	mRNA	protein_coding
-52014	ensorlt00000027036	sorlg00000009092	cdkl1-201	22	1345293	1354678	+	mRNA	protein_coding
-52014	ensorlt00000011407	sorlg00000009092	cdkl1-202	22	1345293	1354678	+	mRNA	protein_coding
66054	ensorlt00000033608	sorlg00000009340	pacs2-205	22	1464319	1491784	+	mRNA	protein_coding
71977	ensorlt00000043614	sorlg00000027914	ensorle00000294629	22	1466493	1470242	-	mRNA	protein_coding
-74042	ensorlt00000038178	sorlg00000022884	map4k5-203	22	1323265	1344649	+	mRNA	protein_coding
-74042	ensorlt00000032507	sorlg00000022884	map4k5-202	22	1323265	1344649	+	mRNA	protein_coding
-74042	ensorlt00000044616	sorlg00000022884	map4k5-201	22	1323265	1344649	+	mRNA	protein_coding
-76876	ensorlt00000011357	sorlg00000009054	atl1-201	22	1313733	1320431	-	mRNA	protein_coding
-90417	ensorlt00000047127	sorlg00000008998	sav1-201	22	1306890	1316920	+	mRNA	protein_coding
-90417	ensorlt00000011284	sorlg00000008998	sav1-202	22	1306890	1312608	+	mRNA	protein_coding
