distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
107	ensorlt00000011708	sorlg00000009336	zgc:109913-201	5	18105348	18110683	-	mRNA	protein_coding
8216	ensorlt00000037480	sorlg00000009346		5	18111795	18118792	-	mRNA	protein_coding
-9733	ensorlt00000011702	sorlg00000009330	ube2c-203	5	18100321	18103348	+	mRNA	protein_coding
-9979	ensorlt00000011701	sorlg00000009330	ube2c-202	5	18100075	18104223	+	mRNA	protein_coding
-10586	ensorlt00000029668	sorlg00000009330	ube2c-201	5	18099468	18104223	+	mRNA	protein_coding
10916	ensorlt00000045631	sorlg00000009346		5	18111795	18121492	-	mRNA	protein_coding
10982	ensorlt00000011718	sorlg00000009346		5	18111795	18121558	-	mRNA	protein_coding
-12300	ensorlt00000038668	sorlg00000029046	polr2j-201	5	18092590	18097754	-	mRNA	protein_coding
14046	ensorlt00000030252	sorlg00000021862	snrpn-201	5	18124622	18131439	+	mRNA	protein_coding
16746	ensorlt00000011741	sorlg00000021862	snrpn-202	5	18127322	18128634	+	mRNA	protein_coding
18028	ensorlt00000011742	sorlg00000009362		5	18127314	18128604	-	mRNA	protein_coding
-19619	ensorlt00000011646	sorlg00000009282	ube2c-201	5	18090435	18097754	+	mRNA	protein_coding
21105	ensorlt00000011757	sorlg00000009377	ctsa-201	5	18131681	18137149	+	mRNA	protein_coding
-30496	ensorlt00000011589	sorlg00000009241	pcif1-201	5	18079558	18088717	+	mRNA	protein_coding
36147	ensorlt00000011772	sorlg00000009389	cass4-203	5	18138875	18146723	-	mRNA	protein_coding
-42156	ensorlt00000011546	sorlg00000009207		5	18067898	18075315	+	mRNA	protein_coding
45639	ensorlt00000031384	sorlg00000009389	cass4-201	5	18137921	18156215	-	mRNA	protein_coding
45639	ensorlt00000011773	sorlg00000009389	cass4-202	5	18137921	18156215	-	mRNA	protein_coding
-49729	ensorlt00000011531	sorlg00000022200	golga7-203	5	18060325	18062645	+	mRNA	protein_coding
-49915	ensorlt00000038068	sorlg00000022200	golga7-202	5	18060139	18066187	+	mRNA	protein_coding
50455	ensorlt00000011813	sorlg00000009422	cstf1-202	5	18158602	18161031	-	mRNA	protein_coding
50804	ensorlt00000011810	sorlg00000009422	cstf1-201	5	18158305	18161380	-	mRNA	protein_coding
-52014	ensorlt00000038735	sorlg00000022200	golga7-201	5	18058040	18066187	+	mRNA	protein_coding
-54601	ensorlt00000026318	sorlg00000021337	snora63-201	5	18055453	18055577	+	snoRNA	snorna
-55071	ensorlt00000026277	sorlg00000021296	snora63-201	5	18054983	18055109	+	snoRNA	snorna
-55748	ensorlt00000011509	sorlg00000009174	rplp0-203	5	18054306	18056567	+	mRNA	protein_coding
-55802	ensorlt00000011510	sorlg00000009174	rplp0-202	5	18054252	18057905	+	mRNA	protein_coding
-55802	ensorlt00000035640	sorlg00000009174	rplp0-201	5	18054252	18057905	+	mRNA	protein_coding
-56554	ensorlt00000011495	sorlg00000009161	ensorle00000103517	5	18052241	18053500	-	mRNA	protein_coding
59921	ensorlt00000043433	sorlg00000027242		5	18170497	18177357	+	mRNA	protein_coding
59921	ensorlt00000028480	sorlg00000027242		5	18170497	18179878	+	mRNA	protein_coding
59921	ensorlt00000040122	sorlg00000027242		5	18170497	18179878	+	mRNA	protein_coding
71774	ensorlt00000038836	sorlg00000027924		5	18182350	18187788	+	mRNA	protein_coding
-91968	ensorlt00000011489	sorlg00000027679	pxna-201	5	18018086	18053742	+	mRNA	protein_coding
-91968	ensorlt00000026896	sorlg00000027679	pxna-203	5	18018086	18053742	+	mRNA	protein_coding
-91968	ensorlt00000046949	sorlg00000027679	pxna-202	5	18018086	18053742	+	mRNA	protein_coding
94937	ensorlt00000044697	sorlg00000021999	pdrg1-201	5	18201258	18205513	-	mRNA	protein_coding
