distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-1485	ensorlt00000046329	sorlg00000029561		13	5074110	5076573	+	mRNA	protein_coding
-6393	ensorlt00000002840	sorlg00000002291		13	5069202	5097600	+	mRNA	protein_coding
-7700	ensorlt00000032193	sorlg00000002291		13	5067895	5097600	+	mRNA	protein_coding
10884	ensorlt00000002862	sorlg00000002308	dhx34-201	13	5076675	5087792	-	mRNA	protein_coding
-12642	ensorlt00000002789	sorlg00000002248	nup88-201	13	5058923	5062953	-	mRNA	protein_coding
-13179	ensorlt00000002835	sorlg00000002285	psmd8-201	13	5062416	5066861	+	mRNA	protein_coding
-24904	ensorlt00000002787	sorlg00000002244	ehd2-201	13	5050691	5058323	+	mRNA	protein_coding
24935	ensorlt00000047011	sorlg00000002334	st14a-202	13	5088204	5101843	-	mRNA	protein_coding
27113	ensorlt00000002896	sorlg00000002334	st14a-201	13	5088204	5104021	-	mRNA	protein_coding
-38272	ensorlt00000002760	sorlg00000002222	bicra-201	13	5037323	5047575	+	mRNA	protein_coding
-44035	ensorlt00000002738	sorlg00000002201	napab-201	13	5018859	5031560	-	mRNA	protein_coding
-44319	ensorlt00000002742	sorlg00000002201	napab-202	13	5020255	5031276	-	mRNA	protein_coding
-61998	ensorlt00000002686	sorlg00000002162	b3gnt2l-201	13	5012311	5013597	-	mRNA	protein_coding
66478	ensorlt00000002979	sorlg00000002393	aplp2-205	13	5107577	5143386	-	mRNA	protein_coding
-69101	ensorlt00000002680	sorlg00000002156	bckdha-201	13	5006494	5014391	+	mRNA	protein_coding
-82729	ensorlt00000035126	sorlg00000027744	ensorle00000250889	13	4991841	4992866	-	mRNA	protein_coding
-88446	ensorlt00000002659	sorlg00000002140	panx-201	13	4987149	4998922	+	mRNA	protein_coding
-89655	ensorlt00000002636	sorlg00000002117		13	4974115	4985940	-	mRNA	protein_coding
92557	ensorlt00000039408	sorlg00000002393	aplp2-203	13	5105854	5169465	-	mRNA	protein_coding
92557	ensorlt00000029543	sorlg00000002393	aplp2-201	13	5105854	5169465	-	mRNA	protein_coding
92557	ensorlt00000035043	sorlg00000002393	aplp2-204	13	5105854	5169465	-	mRNA	protein_coding
92557	ensorlt00000039602	sorlg00000002393	aplp2-202	13	5105854	5169465	-	mRNA	protein_coding
-94357	ensorlt00000032858	sorlg00000002117		13	4974115	4981238	-	mRNA	protein_coding
96055	ensorlt00000003002	sorlg00000002416	prdm10-201	13	5172963	5187651	+	mRNA	protein_coding
