distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-869	ensorlt00000040015	sorlg00000022981	ensorle00000233640	3	1708506	1710167	+	mRNA	protein_coding
10946	ensorlt00000026307	sorlg00000021326	5s_rrna-201	3	1721199	1721307	+	rRNA	rrna
12948	ensorlt00000046231	sorlg00000026795	ensorle00000303954	3	1723201	1724427	+	mRNA	protein_coding
15645	ensorlt00000037378	sorlg00000030232	ensorle00000308562	3	1725898	1728216	+	mRNA	protein_coding
18163	ensorlt00000026467	sorlg00000021486	5s_rrna-201	3	1728416	1728459	+	rRNA	rrna
20663	ensorlt00000045024	sorlg00000023506	ensorle00000235279	3	1730916	1731956	+	mRNA	protein_coding
-24327	ensorlt00000026292	sorlg00000029102	5s_rrna-201	3	1685048	1685166	+	rRNA	rrna
33611	ensorlt00000025977	sorlg00000020996	5s_rrna-201	3	1743864	1743971	+	rRNA	rrna
39110	ensorlt00000029787	sorlg00000026697		3	1749363	1769030	+	mRNA	protein_coding
-60434	ensorlt00000029729	sorlg00000028746	5s_rrna-201	3	1648941	1649059	+	rRNA	rrna
-63191	ensorlt00000038555	sorlg00000028822	5s_rrna-201	3	1646184	1646298	+	rRNA	rrna
65759	ensorlt00000036098	sorlg00000026580		3	1776012	1784461	+	mRNA	protein_coding
66421	ensorlt00000029603	sorlg00000028322		3	1776674	1780874	+	mRNA	protein_coding
-69425	ensorlt00000040873	sorlg00000028958	5s_rrna-201	3	1639950	1640068	+	rRNA	rrna
84769	ensorlt00000039005	sorlg00000028788		3	1795022	1796034	+	mRNA	protein_coding
