distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-2366	ensorlt00000035472	sorlg00000009799		23	4297071	4304400	+	mRNA	protein_coding
-3281	ensorlt00000012295	sorlg00000009799		23	4296156	4302855	+	mRNA	protein_coding
-3532	ensorlt00000012308	sorlg00000009799		23	4295905	4302855	+	mRNA	protein_coding
-5895	ensorlt00000046452	sorlg00000027436	ensorle00000228745	23	4291959	4293542	-	mRNA	protein_coding
-13902	ensorlt00000000624	sorlg00000009808		23	4280767	4285535	-	mRNA	protein_coding
-26040	ensorlt00000027147	sorlg00000022167	ano4-201	23	4167086	4273397	-	mRNA	protein_coding
28593	ensorlt00000033715	sorlg00000028212		23	4328567	4341598	+	mRNA	protein_coding
28593	ensorlt00000043282	sorlg00000028212		23	4328567	4341598	+	mRNA	protein_coding
32493	ensorlt00000035351	sorlg00000028212		23	4332467	4341598	+	mRNA	protein_coding
32493	ensorlt00000027073	sorlg00000028212		23	4332467	4376037	+	mRNA	protein_coding
32633	ensorlt00000037611	sorlg00000028212		23	4332607	4376037	+	mRNA	protein_coding
-46325	ensorlt00000046890	sorlg00000022167	ano4-202	23	4167086	4253112	-	mRNA	protein_coding
93735	ensorlt00000040072	sorlg00000023919	mrps33-201	23	4393709	4395845	+	mRNA	protein_coding
