distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
5711	ensorlt00000040588	sorlg00000024046		22	547169	550450	+	mRNA	protein_coding
13887	ensorlt00000043532	sorlg00000026782	zbtb24-201	22	549153	555345	-	mRNA	protein_coding
17750	ensorlt00000032702	sorlg00000026782	zbtb24-202	22	553015	559208	-	mRNA	protein_coding
-19273	ensorlt00000034197	sorlg00000029670	afg1la-201	22	521660	539394	+	mRNA	protein_coding
23134	ensorlt00000033326	sorlg00000025399	zgc:172341-201	22	564592	568628	+	mRNA	protein_coding
23134	ensorlt00000045007	sorlg00000025399	zgc:172341-202	22	564592	568628	+	mRNA	protein_coding
34338	ensorlt00000035636	sorlg00000026719		22	570320	575796	-	mRNA	protein_coding
-42632	ensorlt00000045882	sorlg00000025810	scml4-201	22	496973	498301	-	mRNA	protein_coding
-58571	ensorlt00000037398	sorlg00000028480		22	476795	482362	-	mRNA	protein_coding
64433	ensorlt00000045869	sorlg00000027701	samd5-201	22	605089	605891	-	mRNA	protein_coding
-67390	ensorlt00000032717	sorlg00000027658		22	469553	473543	-	mRNA	protein_coding
-68631	ensorlt00000027045	sorlg00000029232		22	472302	475068	+	mRNA	protein_coding
-83715	ensorlt00000023063	sorlg00000018430	smc6-201	22	457218	470644	+	mRNA	protein_coding
-93535	ensorlt00000037376	sorlg00000022849	si:ch211-189e2.2-201	22	445338	447398	-	mRNA	protein_coding
