distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-8750	ensorlt00000002534	sorlg00000002031		4	4081546	4084926	+	mRNA	protein_coding
-12324	ensorlt00000002523	sorlg00000002024		4	4077972	4079260	+	mRNA	protein_coding
27269	ensorlt00000002527	sorlg00000002027		4	4118512	4124383	+	mRNA	protein_coding
29504	ensorlt00000037005	sorlg00000028011		4	4120747	4125437	+	mRNA	protein_coding
-32279	ensorlt00000002522	sorlg00000002020		4	4021687	4058017	-	mRNA	protein_coding
-32279	ensorlt00000044988	sorlg00000002020		4	4021687	4058017	-	mRNA	protein_coding
36049	ensorlt00000035719	sorlg00000022114	zgc:103559-201	4	4127292	4131820	+	mRNA	protein_coding
42008	ensorlt00000024098	sorlg00000019350	agxta-202	4	4133251	4138803	+	mRNA	protein_coding
42008	ensorlt00000024096	sorlg00000019350	agxta-201	4	4133251	4139373	+	mRNA	protein_coding
49922	ensorlt00000002546	sorlg00000002041	dtymk-201	4	4141165	4152191	+	mRNA	protein_coding
50136	ensorlt00000002548	sorlg00000002041	dtymk-202	4	4141379	4152324	+	mRNA	protein_coding
67594	ensorlt00000035415	sorlg00000002098	atg4b-204	4	4152783	4158837	-	mRNA	protein_coding
72055	ensorlt00000035461	sorlg00000002098	atg4b-203	4	4152783	4163298	-	mRNA	protein_coding
72549	ensorlt00000002614	sorlg00000002098	atg4b-201	4	4152783	4163792	-	mRNA	protein_coding
72549	ensorlt00000002617	sorlg00000002098	atg4b-202	4	4152783	4163792	-	mRNA	protein_coding
-81813	ensorlt00000002499	sorlg00000002003	nrl-201	4	4001351	4008483	-	mRNA	protein_coding
85421	ensorlt00000028215	sorlg00000026569	boka-201	4	4166622	4176664	-	mRNA	protein_coding
-88971	ensorlt00000002491	sorlg00000001998		4	3992915	4001325	-	mRNA	protein_coding
-89134	ensorlt00000002489	sorlg00000001998		4	3991707	4001162	-	mRNA	protein_coding
