distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
58	ensorlt00000035444	sorlg00000029402	zgc:92275-201	12	26890889	26905689	-	mRNA	protein_coding
-22365	ensorlt00000043537	sorlg00000014189	grin1a-201	12	26847406	26882559	-	mRNA	protein_coding
-22374	ensorlt00000017803	sorlg00000014189	grin1a-202	12	26847406	26882550	-	mRNA	protein_coding
23782	ensorlt00000017806	sorlg00000014194	zgc:92275-201	12	26910715	26929413	-	mRNA	protein_coding
27895	ensorlt00000029427	sorlg00000014197		12	26930657	26933526	-	mRNA	protein_coding
27949	ensorlt00000017841	sorlg00000014222		12	26933580	26950066	+	mRNA	protein_coding
27949	ensorlt00000030246	sorlg00000014222		12	26933580	26948674	+	mRNA	protein_coding
29704	ensorlt00000038493	sorlg00000014222		12	26935335	26950316	+	mRNA	protein_coding
31173	ensorlt00000032253	sorlg00000014222		12	26936804	26949311	+	mRNA	protein_coding
31823	ensorlt00000032523	sorlg00000014222		12	26937454	26950873	+	mRNA	protein_coding
31823	ensorlt00000043359	sorlg00000014222		12	26937454	26950873	+	mRNA	protein_coding
31992	ensorlt00000036058	sorlg00000014222		12	26937623	26949119	+	mRNA	protein_coding
31992	ensorlt00000036211	sorlg00000014222		12	26937623	26949119	+	mRNA	protein_coding
-65951	ensorlt00000017744	sorlg00000014146	entpd2b-201	12	26824814	26838973	-	mRNA	protein_coding
72649	ensorlt00000039898	sorlg00000029843	pomk-202	12	26971082	26978280	-	mRNA	protein_coding
72670	ensorlt00000035948	sorlg00000026325	pam-201	12	26978301	27001918	+	mRNA	protein_coding
72670	ensorlt00000031015	sorlg00000026325	pam-205	12	26978301	27002690	+	mRNA	protein_coding
72782	ensorlt00000034516	sorlg00000029843	pomk-201	12	26971082	26978413	-	mRNA	protein_coding
74592	ensorlt00000029779	sorlg00000026325	pam-204	12	26980223	27001918	+	mRNA	protein_coding
74592	ensorlt00000040639	sorlg00000026325	pam-202	12	26980223	27002690	+	mRNA	protein_coding
74592	ensorlt00000042726	sorlg00000026325	pam-203	12	26980223	27001918	+	mRNA	protein_coding
-81485	ensorlt00000046191	sorlg00000024406		12	26820410	26823439	-	mRNA	protein_coding
-81485	ensorlt00000040307	sorlg00000024406		12	26820410	26823439	-	mRNA	protein_coding
89537	ensorlt00000044491	sorlg00000023465		12	26989494	26995168	-	mRNA	protein_coding
-92107	ensorlt00000017631	sorlg00000014059		12	26789089	26812817	-	mRNA	protein_coding
