distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
0	ensorlt00000043834	sorlg00000025381	rgn-202	2	25168882	25184827	+	mRNA	protein_coding
-268	ensorlt00000039646	sorlg00000025381	rgn-201	2	25168407	25188178	+	mRNA	protein_coding
23986	ensorlt00000038162	sorlg00000018917		2	25184848	25193315	-	mRNA	protein_coding
23986	ensorlt00000037561	sorlg00000018917		2	25184848	25193315	-	mRNA	protein_coding
24713	ensorlt00000023606	sorlg00000018917		2	25184848	25194042	-	mRNA	protein_coding
26106	ensorlt00000034230	sorlg00000026638		2	25195435	25197265	+	mRNA	protein_coding
-27010	ensorlt00000035634	sorlg00000022777	vps16-201	2	25141665	25168861	+	mRNA	protein_coding
44866	ensorlt00000033943	sorlg00000021888		2	25214195	25219865	+	mRNA	protein_coding
60349	ensorlt00000036164	sorlg00000018002	olgc3-201	2	25229678	25338010	+	mRNA	protein_coding
60355	ensorlt00000022543	sorlg00000018002	olgc3-202	2	25229684	25336557	+	mRNA	protein_coding
-63567	ensorlt00000023069	sorlg00000018433	cavin2b-201	2	25097804	25105108	-	mRNA	protein_coding
-68846	ensorlt00000023103	sorlg00000018464	ebpl-201	2	25090274	25099829	-	mRNA	protein_coding
-83676	ensorlt00000023180	sorlg00000018533	eef1b2-201	2	25083104	25084999	-	mRNA	protein_coding
-84915	ensorlt00000026700	sorlg00000021719	ensorle00000227410	2	25083687	25083760	-	snoRNA	snorna
-85146	ensorlt00000028017	sorlg00000028756		2	25083529	25084061	+	mRNA	protein_coding
-86207	ensorlt00000023125	sorlg00000018486	arl11-201	2	25082468	25090074	+	mRNA	protein_coding
-94280	ensorlt00000040101	sorlg00000028428	ensorle00000255200	2	25074395	25077787	+	mRNA	protein_coding
