distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-4364	ensorlt00000012011	sorlg00000009581	med21-201	23	3904371	3912576	-	mRNA	protein_coding
5027	ensorlt00000012054	sorlg00000009613	tm7sf3-201	23	3923016	3937541	+	mRNA	protein_coding
-5472	ensorlt00000012038	sorlg00000009602	fgfr1op2-201	23	3911468	3921194	+	mRNA	protein_coding
-19050	ensorlt00000012001	sorlg00000009571	stk38l-201	23	3873153	3897890	-	mRNA	protein_coding
-19050	ensorlt00000012007	sorlg00000009571	stk38l-202	23	3875745	3897890	-	mRNA	protein_coding
32040	ensorlt00000038268	sorlg00000009624	gas2l3-201	23	3935202	3950029	-	mRNA	protein_coding
41339	ensorlt00000012066	sorlg00000009624	gas2l3-202	23	3939722	3959328	-	mRNA	protein_coding
-57188	ensorlt00000011959	sorlg00000009536	arntl2-201	23	3833810	3859752	-	mRNA	protein_coding
-57188	ensorlt00000032665	sorlg00000009536	arntl2-202	23	3833810	3859752	-	mRNA	protein_coding
57911	ensorlt00000012098	sorlg00000009649	arid2-201	23	3975900	4018368	+	mRNA	protein_coding
