distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
4417	ensorlt00000025343	sorlg00000020452	gpr180-203	2	24782587	24786109	+	mRNA	protein_coding
4417	ensorlt00000033595	sorlg00000020452	gpr180-202	2	24782587	24789659	+	mRNA	protein_coding
4417	ensorlt00000043806	sorlg00000020452	gpr180-201	2	24782587	24789659	+	mRNA	protein_coding
-7037	ensorlt00000036387	sorlg00000020450		2	24754504	24769982	-	mRNA	protein_coding
-7037	ensorlt00000025340	sorlg00000020450		2	24767363	24769982	-	mRNA	protein_coding
9707	ensorlt00000046305	sorlg00000022952		2	24787877	24788502	+	mRNA	protein_coding
-22918	ensorlt00000037340	sorlg00000025640		2	24754101	24764081	+	mRNA	protein_coding
-22918	ensorlt00000041135	sorlg00000025640		2	24754101	24763926	+	mRNA	protein_coding
-22918	ensorlt00000046243	sorlg00000025640		2	24754101	24763926	+	mRNA	protein_coding
-22918	ensorlt00000037715	sorlg00000025640		2	24754101	24763945	+	mRNA	protein_coding
-22918	ensorlt00000029106	sorlg00000025640		2	24754101	24948224	+	mRNA	protein_coding
48794	ensorlt00000045817	sorlg00000028626		2	24826964	24828576	+	mRNA	protein_coding
-53757	ensorlt00000043888	sorlg00000022077		2	24723262	24745408	+	mRNA	protein_coding
-55066	ensorlt00000028986	sorlg00000022077		2	24721953	24745408	+	mRNA	protein_coding
-73832	ensorlt00000028948	sorlg00000027711		2	24703187	24711984	+	mRNA	protein_coding
-76040	ensorlt00000036899	sorlg00000022694	ensorle00000270230	2	24700979	24701810	+	mRNA	protein_coding
86993	ensorlt00000038579	sorlg00000022476		2	24862348	24865163	-	mRNA	protein_coding
-88766	ensorlt00000038072	sorlg00000029115	si:ch211-270g19.5-201	2	24688092	24688253	-	mRNA	protein_coding
