distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
4162	ensorlt00000038846	sorlg00000025932		1	629814	632407	+	mRNA	protein_coding
-10846	ensorlt00000035585	sorlg00000022060	spred2a-201	1	593930	612963	-	mRNA	protein_coding
11128	ensorlt00000043316	sorlg00000025788		1	635609	636780	-	mRNA	protein_coding
11285	ensorlt00000043908	sorlg00000025788		1	635609	636937	-	mRNA	protein_coding
12239	ensorlt00000002914	sorlg00000025788		1	635609	637891	-	mRNA	protein_coding
15108	ensorlt00000002912	sorlg00000025788		1	635609	640760	-	mRNA	protein_coding
16573	ensorlt00000023282	sorlg00000018625	esf1-201	1	638107	642225	-	mRNA	protein_coding
20666	ensorlt00000039453	sorlg00000026894	ensorle00000209077	1	645938	646318	-	mRNA	protein_coding
21795	ensorlt00000029866	sorlg00000027460	ndufaf5-201	1	647447	650329	+	mRNA	protein_coding
36281	ensorlt00000030131	sorlg00000026980		1	661933	663284	+	mRNA	protein_coding
-36828	ensorlt00000029108	sorlg00000021846	rab1aa-201	1	580882	586981	-	mRNA	protein_coding
-37768	ensorlt00000024302	sorlg00000021846	rab1aa-202	1	583375	586041	-	mRNA	protein_coding
41119	ensorlt00000042061	sorlg00000030028		1	663838	666771	-	mRNA	protein_coding
-44164	ensorlt00000040328	sorlg00000024894		1	575482	579645	-	mRNA	protein_coding
-44341	ensorlt00000043216	sorlg00000026450		1	579468	581187	+	mRNA	protein_coding
-46402	ensorlt00000037608	sorlg00000025109	ensorle00000283449	1	577407	578684	+	mRNA	protein_coding
-51229	ensorlt00000035193	sorlg00000023941	ensorle00000292940	1	572580	575435	+	mRNA	protein_coding
-56182	ensorlt00000033392	sorlg00000030543		1	565559	567627	-	mRNA	protein_coding
57012	ensorlt00000037181	sorlg00000028642		1	682664	687420	+	mRNA	protein_coding
62688	ensorlt00000035944	sorlg00000027450		1	688340	700965	+	mRNA	protein_coding
72705	ensorlt00000042226	sorlg00000024703	ensorle00000237914	1	689532	698357	-	mRNA	protein_coding
77029	ensorlt00000023480	sorlg00000018797		1	698965	702681	-	mRNA	protein_coding
-77273	ensorlt00000041498	sorlg00000021978	slc8a1a-201	1	521725	546536	-	mRNA	protein_coding
-77823	ensorlt00000040293	sorlg00000021978	slc8a1a-202	1	521725	545986	-	mRNA	protein_coding
-78030	ensorlt00000030557	sorlg00000021978	slc8a1a-203	1	521725	545779	-	mRNA	protein_coding
-79169	ensorlt00000042400	sorlg00000021978	slc8a1a-204	1	521725	544640	-	mRNA	protein_coding
-79169	ensorlt00000046564	sorlg00000021978	slc8a1a-205	1	521725	544640	-	mRNA	protein_coding
-79388	ensorlt00000036277	sorlg00000021978	slc8a1a-206	1	521725	544421	-	mRNA	protein_coding
80628	ensorlt00000027567	sorlg00000030094	ensorle00000317211	1	706280	709243	+	mRNA	protein_coding
-80667	ensorlt00000036828	sorlg00000021978	slc8a1a-207	1	521725	543142	-	mRNA	protein_coding
-80814	ensorlt00000045405	sorlg00000021978	slc8a1a-209	1	521725	542995	-	mRNA	protein_coding
-80814	ensorlt00000030217	sorlg00000021978	slc8a1a-208	1	521725	542995	-	mRNA	protein_coding
-81351	ensorlt00000035037	sorlg00000021978	slc8a1a-210	1	521725	542458	-	mRNA	protein_coding
86132	ensorlt00000024176	sorlg00000019421	snrpb2-201	1	711784	714393	+	mRNA	protein_coding
91124	ensorlt00000043574	sorlg00000028973	prokr1a-201	1	716776	720586	+	mRNA	protein_coding
