distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-5908	ensorlt00000021320	sorlg00000017041		8	24222494	24224820	+	mRNA	protein_coding
7644	ensorlt00000029200	sorlg00000017046	hoxb4a-202	8	24236741	24239881	+	mRNA	protein_coding
7644	ensorlt00000021330	sorlg00000017046	hoxb4a-201	8	24236741	24285201	+	mRNA	protein_coding
11889	ensorlt00000046469	sorlg00000017048	hoxb3a-202	8	24240986	24285201	+	mRNA	protein_coding
-17570	ensorlt00000039388	sorlg00000017048	hoxb3a-201	8	24210832	24285201	+	mRNA	protein_coding
17945	ensorlt00000030800	sorlg00000017048	hoxb3a-203	8	24247042	24285201	+	mRNA	protein_coding
-20979	ensorlt00000021318	sorlg00000017036		8	24207423	24218793	+	mRNA	protein_coding
37161	ensorlt00000021332	sorlg00000017048	hoxb3a-204	8	24266258	24270687	+	mRNA	protein_coding
-44927	ensorlt00000037929	sorlg00000026759	hoxb8a-201	8	24183475	24191165	+	mRNA	protein_coding
47619	ensorlt00000021336	sorlg00000017051	hoxb2a-201	8	24276716	24278895	+	mRNA	protein_coding
-65174	ensorlt00000021316	sorlg00000017035	hoxb9a-201	8	24163228	24175952	+	mRNA	protein_coding
65250	ensorlt00000021338	sorlg00000017053	hoxb1a-201	8	24294347	24297141	+	mRNA	protein_coding
-92850	ensorlt00000021308	sorlg00000017031	hoxb13a-201	8	24135552	24137988	+	mRNA	protein_coding
