distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
5858	ensorlt00000002422	sorlg00000001947	aasdh-201	4	3959963	3967934	-	mRNA	protein_coding
6396	ensorlt00000037813	sorlg00000028421		4	3968472	3976908	+	mRNA	protein_coding
-8847	ensorlt00000002413	sorlg00000001937	si:dkeyp-117h8.2-201	4	3952368	3957927	+	mRNA	protein_coding
15399	ensorlt00000002465	sorlg00000001979	paics-201	4	3977475	3989993	+	mRNA	protein_coding
15967	ensorlt00000027386	sorlg00000001965	ppat-202	4	3969324	3978043	-	mRNA	protein_coding
18655	ensorlt00000002447	sorlg00000001965	ppat-201	4	3969324	3980731	-	mRNA	protein_coding
-38934	ensorlt00000029638	sorlg00000001929	prrc2c-201	4	3888505	3922281	-	mRNA	protein_coding
39086	ensorlt00000002489	sorlg00000001998		4	3991707	4001162	-	mRNA	protein_coding
39249	ensorlt00000002491	sorlg00000001998		4	3992915	4001325	-	mRNA	protein_coding
-42486	ensorlt00000002403	sorlg00000001929	prrc2c-202	4	3897529	3918729	-	mRNA	protein_coding
46407	ensorlt00000002499	sorlg00000002003	nrl-201	4	4001351	4008483	-	mRNA	protein_coding
-75731	ensorlt00000002382	sorlg00000001910	myoc-202	4	3885484	3891115	+	mRNA	protein_coding
-76383	ensorlt00000002384	sorlg00000001910	myoc-201	4	3884832	3893413	+	mRNA	protein_coding
-89098	ensorlt00000002368	sorlg00000001902	vamp4-201	4	3872117	3882621	+	mRNA	protein_coding
-93772	ensorlt00000039617	sorlg00000023054	ensorle00000322255	4	3867443	3870760	+	mRNA	protein_coding
95941	ensorlt00000044988	sorlg00000002020		4	4021687	4058017	-	mRNA	protein_coding
95941	ensorlt00000002522	sorlg00000002020		4	4021687	4058017	-	mRNA	protein_coding
-96879	ensorlt00000002361	sorlg00000001895	rangrf-201	4	3863770	3864336	-	mRNA	protein_coding
